iter	Passed	Remaining
0	47	47079
1	48	24250
2	49	16398
3	50	12648
4	51	10207
5	51	8556
6	52	7383
7	52	6512
8	53	5861
9	53	5320
10	54	4873
11	54	4494
12	54	4172
13	55	3903
14	56	3679
15	56	3470
16	57	3305
17	57	3146
18	58	2999
19	58	2867
20	59	2759
21	59	2652
22	60	2574
23	62	2559
24	64	2515
25	65	2450
26	66	2388
27	67	2326
28	67	2267
29	68	2217
30	69	2165
31	70	2121
32	70	2078
33	71	2038
34	72	2003
35	73	1969
36	74	1941
37	75	1908
38	76	1877
39	76	1847
40	77	1815
41	78	1793
42	79	1767
43	79	1734
44	80	1702
45	80	1673
46	82	1670
47	82	1642
48	83	1613
49	83	1587
50	83	1561
51	84	1536
52	84	1514
53	85	1491
54	85	1470
55	86	1450
56	86	1430
57	86	1411
58	87	1393
59	87	1374
60	88	1357
61	88	1339
62	88	1322
63	89	1306
64	89	1291
65	90	1285
66	91	1271
67	91	1258
68	92	1245
69	92	1230
70	93	1217
71	93	1203
72	93	1190
73	94	1178
74	94	1166
75	94	1154
76	95	1143
77	95	1131
78	96	1124
79	96	1114
80	97	1103
81	97	1094
82	97	1081
83	99	1079
84	99	1069
85	99	1060
86	100	1052
87	100	1044
88	101	1035
89	101	1027
90	102	1019
91	102	1012
92	102	1004
93	104	1004
94	104	996
95	105	988
96	105	981
97	105	973
98	106	970
99	107	965
100	107	958
101	108	951
102	108	944
103	108	937
104	109	930
105	109	923
106	110	918
107	110	912
108	110	906
109	111	900
110	111	894
111	112	888
112	112	883
113	112	877
114	113	872
115	113	866
116	114	860
117	114	856
118	114	851
119	115	846
120	115	841
121	116	836
122	116	831
123	117	826
124	117	821
125	117	817
126	118	812
127	118	807
128	119	804
129	119	800
130	119	795
131	120	792
132	120	788
133	121	784
134	121	780
135	122	777
136	122	773
137	123	770
138	123	767
139	124	765
140	125	764
141	125	760
142	126	756
143	126	752
144	126	747
145	127	743
146	127	740
147	127	736
148	128	732
149	128	729
150	129	725
151	129	722
152	129	718
153	130	715
154	130	712
155	131	709
156	131	706
157	132	703
158	132	700
159	132	697
160	133	693
161	133	690
162	133	687
163	134	684
164	134	681
165	135	679
166	135	677
167	136	674
168	136	671
169	136	668
170	137	666
171	137	663
172	138	661
173	138	658
174	139	656
175	139	653
176	140	651
177	140	649
178	141	646
179	141	644
180	141	642
181	142	639
182	142	637
183	143	635
184	143	632
185	144	630
186	144	628
187	145	626
188	145	624
189	145	622
190	146	619
191	146	617
192	147	616
193	147	614
194	148	612
195	148	609
196	149	607
197	149	605
198	150	604
199	150	603
200	151	601
201	151	600
202	152	598
203	153	597
204	154	597
205	154	595
206	154	593
207	155	592
208	156	590
209	156	589
210	157	587
211	157	586
212	158	585
213	158	582
214	159	581
215	159	580
216	160	578
217	160	576
218	161	575
219	161	574
220	162	572
221	163	572
222	168	588
223	169	586
224	169	584
225	170	582
226	171	583
227	171	581
228	172	579
229	172	577
230	172	575
231	173	573
232	175	579
233	176	577
234	176	575
235	177	576
236	178	575
237	179	573
238	179	570
239	179	569
240	180	568
241	180	566
242	181	565
243	182	563
244	182	561
245	182	560
246	183	559
247	183	557
248	185	559
249	186	560
250	187	560
251	188	558
252	189	559
253	190	559
254	190	557
255	191	557
256	193	559
257	194	558
258	195	558
259	195	557
260	196	556
261	197	555
262	198	555
263	199	554
264	200	554
265	201	555
266	202	555
267	204	557
268	204	556
269	206	557
270	207	557
271	207	555
272	207	553
273	208	551
274	208	549
275	208	547
276	209	545
277	209	544
278	209	542
279	210	540
280	210	538
281	210	537
282	211	535
283	211	533
284	211	531
285	212	529
286	212	528
287	212	526
288	213	524
289	213	522
290	213	521
291	214	519
292	214	517
293	214	515
294	215	514
295	215	512
296	215	510
297	216	509
298	216	508
299	217	506
300	217	505
301	218	503
302	218	502
303	219	501
304	219	500
305	219	498
306	220	497
307	220	496
308	221	494
309	221	493
310	221	491
311	222	489
312	222	488
313	222	486
314	223	485
315	223	483
316	223	482
317	224	481
318	225	480
319	225	479
320	226	478
321	226	477
322	229	479
323	230	479
324	230	478
325	230	476
326	230	475
327	231	473
328	231	472
329	231	470
330	232	469
331	232	467
332	232	466
333	232	464
334	233	463
335	233	461
336	233	459
337	234	458
338	234	456
339	234	455
340	234	453
341	235	452
342	235	451
343	235	449
344	236	448
345	236	446
346	236	445
347	236	443
348	237	442
349	237	440
350	237	439
351	238	438
352	238	437
353	239	437
354	240	436
355	240	435
356	240	434
357	241	432
358	241	431
359	242	430
360	242	428
361	242	427
362	242	426
363	243	425
364	243	423
365	243	422
366	244	421
367	244	419
368	244	418
369	245	417
370	245	416
371	246	415
372	246	414
373	246	413
374	247	412
375	247	410
376	247	409
377	248	408
378	248	407
379	249	406
380	250	407
381	251	407
382	252	406
383	252	404
384	252	403
385	253	402
386	253	401
387	253	400
388	253	398
389	254	397
390	254	396
391	255	395
392	255	394
393	255	393
394	256	392
395	256	390
396	256	389
397	256	388
398	257	387
399	257	386
400	257	385
401	258	384
402	258	382
403	258	381
404	259	380
405	259	379
406	260	378
407	260	377
408	260	377
409	261	376
410	262	375
411	262	374
412	262	373
413	263	372
414	263	371
415	263	370
416	264	369
417	264	368
418	264	367
419	265	366
420	265	365
421	265	363
422	266	362
423	266	361
424	266	360
425	266	359
426	267	358
427	267	357
428	267	356
429	268	355
430	268	354
431	268	353
432	269	352
433	269	351
434	269	350
435	269	349
436	270	348
437	270	347
438	271	347
439	272	346
440	272	345
441	272	344
442	273	343
443	273	342
444	273	341
445	273	340
446	274	339
447	274	338
448	274	337
449	279	341
450	279	340
451	280	340
452	280	339
453	281	338
454	282	337
455	282	336
456	284	337
457	284	337
458	285	336
459	285	335
460	285	334
461	286	333
462	286	332
463	287	332
464	287	331
465	288	330
466	288	329
467	289	328
468	290	328
469	290	327
470	291	327
471	292	327
472	295	328
473	295	328
474	296	327
475	296	326
476	296	325
477	297	324
478	297	323
479	297	322
480	298	321
481	298	320
482	298	319
483	299	318
484	299	317
485	299	317
486	300	316
487	300	315
488	301	315
489	302	315
490	303	314
491	304	314
492	305	313
493	305	313
494	306	312
495	307	311
496	307	311
497	308	310
498	308	310
499	309	309
